company,tier,year,doc_type,filename,tokens,agentic_share_of_automation,raw_agentic,raw_prior_gen_automation,dim_role_evolution_per10k,dim_tech_stack_per10k,dim_governance_per10k,stage_assisted,stage_augmented,stage_frontier,automation_depth_distribution_per10k,automation_depth_underwriting_per10k,automation_depth_pricing_actuarial_per10k,automation_depth_claims_per10k,automation_depth_servicing_per10k,automation_depth_billing_per10k
Alm Brand Group,C,2024,Annual Report,alm brand group 2024 annual report.pdf,83724,0.0,0,0,0.0,2.15,1.67,192,4,0,0.0,0.0,0.0,0.0,0.0,0.0
Alm Brand Group,C,2025,Annual Report,alm brand group 2025 annual report.pdf,89552,0.33,1,2,0.11,2.46,1.68,181,9,4,0.0,0.0,0.0,0.0,0.0,0.11
Aviva,A,2023,Annual Report,aviva annual report 2023.pdf,210824,0.81,26,6,0.81,1.9,0.43,315,26,18,0.0,0.19,0.43,0.0,0.14,0.0
Aviva,A,2024,Annual Report,aviva annual report 2024.pdf,198090,0.93,42,3,0.66,2.17,0.56,274,37,16,0.05,0.2,0.1,0.2,0.25,0.0
Aviva,A,2025,Annual Report,aviva annual report 2025.pdf,211112,0.93,40,3,0.38,3.93,0.43,282,48,28,0.38,0.38,0.57,0.09,0.19,0.0
Beazley,B,2023,Annual Report,beazley annual report 2023 final.pdf,135688,0.44,7,9,0.59,0.96,1.11,343,16,18,0.0,0.15,0.0,0.15,0.0,0.0
Beazley,B,2024,Annual Report,beazley annual report 2024.pdf,139903,0.0,0,6,0.71,1.0,1.43,361,24,15,0.0,0.21,0.0,0.0,0.0,0.0
Beazley,B,2025,Annual Report,beazley annual report 2025.pdf,151686,0.5,1,1,1.12,1.91,1.71,356,31,26,0.0,0.07,0.0,0.0,0.0,0.0
Bolttech,C,2023,Financial Statement,bolttech 2023 financial statements.pdf,6566,0.0,0,0,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bolttech,C,2024,Financial Statement,bolttech 2024 financial statements.pdf,6556,0.0,0,0,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
