company,Entry,Mid,Senior,Leadership,n_postings,senior_leadership_pct,low_volume_flag
Bolttech,0.0,0.0,100.0,0.0,2,100.0,True
Ageas,0.0,21.428571428571427,71.42857142857143,7.142857142857142,14,78.57142857142857,False
Lemonade,0.0,25.0,75.0,0.0,4,75.0,True
Zego,0.0,34.375,53.125,12.5,32,65.625,False
Admiral,0.0,35.483870967741936,45.16129032258064,19.35483870967742,31,64.51612903225806,False
Marshmallow,0.0,46.15384615384615,53.84615384615385,0.0,13,53.84615384615385,False
Zurich,7.142857142857142,53.57142857142857,28.57142857142857,10.714285714285714,56,39.285714285714285,False
Hiscox,7.59493670886076,59.49367088607595,26.582278481012654,6.329113924050633,79,32.91139240506329,False
Aviva,0.0,72.0,28.000000000000004,0.0,25,28.000000000000004,False
VIG,13.636363636363635,59.09090909090909,22.727272727272727,4.545454545454546,22,27.272727272727273,False
Munich Re,0.0,75.0,25.0,0.0,8,25.0,False
Alm Brand Group,0.0,75.0,12.5,12.5,8,25.0,False
Beazley,16.666666666666664,58.333333333333336,20.833333333333336,4.166666666666666,24,25.0,False
Sampo,5.263157894736842,70.17543859649122,12.280701754385964,12.280701754385964,57,24.561403508771928,False
Swiss Re,7.246376811594203,70.28985507246377,19.565217391304348,2.898550724637681,138,22.463768115942027,False
Coface,8.433734939759036,71.08433734939759,13.253012048192772,7.228915662650602,83,20.481927710843372,False
Neodigital,0.0,81.81818181818183,18.181818181818183,0.0,11,18.181818181818183,False
Gjensidige,0.0,82.35294117647058,17.647058823529413,0.0,17,17.647058823529413,False
Talanx,22.5,60.0,13.125,4.375,160,17.5,False
Tryg,0.0,83.33333333333334,8.333333333333332,8.333333333333332,12,16.666666666666664,False
NN Group,0.0,83.87096774193549,16.129032258064516,0.0,62,16.129032258064516,False
Wakam,23.076923076923077,61.53846153846154,15.384615384615385,0.0,13,15.384615384615385,False
Unipol,11.504424778761061,73.45132743362832,5.3097345132743365,9.734513274336283,113,15.044247787610619,False
Allianz,18.717047451669597,66.69595782073814,10.984182776801406,3.6028119507908607,1138,14.586994727592266,False
Helvetia Baloise,4.761904761904762,81.9047619047619,6.666666666666667,6.666666666666667,105,13.333333333333334,False
Generali,37.142857142857146,50.61224489795918,11.020408163265307,1.2244897959183674,245,12.244897959183675,False
AXA,2.9978586723768736,90.5781584582441,0.6423982869379015,5.781584582441114,467,6.4239828693790155,False
Mapfre,0.0,95.0,5.0,0.0,40,5.0,False
Linea Directa Aseguradora,0.0,100.0,0.0,0.0,5,0.0,False
